t_s,VSYS_V,VDISP_V,I_discharge_A
9.419428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.438428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.457428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.476428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.495428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.514428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.533428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.552428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.571428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.590428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.609428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.628428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.647428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.666428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.685428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.704428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.723428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.742428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.761428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.780428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.799428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.818428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.837428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.856428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.875428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.894428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.913428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.932428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.951428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.970428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.989428e+00,3.799999e+00,1.444000e-09,1.500000e-05
1.000843e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.002743e+01,3.799999e+00,1.444000e-09,1.500000e-05
